surface,router,name,proposedPermission,kind,procedure,authority,module,level,roles,branch,sensitivity,sensitivityWhy,flags,loc
"trpc","storefrontRouter","registerPushDevice","storefront.storefront.create","mutation","storefrontPublicWriteProcedure","public","storefront","WRITE","","none","MEDIUM","كتابة","","server/routers/storefrontRouter.ts:222"
"trpc","storefrontRouter","related","storefront.storefront.related","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:200"
"trpc","storefrontRouter","settings","storefront.storefront.update","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:90"
"trpc","storefrontRouter","submitProductReview","storefront.storefront.submit_product_review","mutation","storefrontPublicWriteProcedure","public","storefront","WRITE","","none","MEDIUM","كتابة","","server/routers/storefrontRouter.ts:156"
"trpc","storefrontRouter","trackBanner","storefront.storefront.track_banner","mutation","publicProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:68"
"trpc","storefrontRouter","trackConversion","storefront.storefront.track_conversion","mutation","publicProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:77"
"trpc","storefrontRouter","trackOrder","storefront.storefront.track_order","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:293"
"trpc","storefrontRouter","trackPushInteraction","storefront.storefront.track_push_interaction","mutation","storefrontPublicWriteProcedure","public","storefront","WRITE","","none","MEDIUM","كتابة","","server/routers/storefrontRouter.ts:233"
"trpc","storefrontRouter","trackRecommendationClick","storefront.storefront.track_recommendation_click","mutation","storefrontPublicWriteProcedure","public","storefront","WRITE","","none","MEDIUM","كتابة","","server/routers/storefrontRouter.ts:82"
"trpc","superAppRouter","approvalDetail","superapp.super_app.approval_detail","query","superAppProcedure","module-map","","RESOLVED","authenticated-user","scoped","LOW","قراءة","","server/routers/superAppRouter.ts:1887"
"trpc","superAppRouter","approvalInbox","superapp.super_app.approval_inbox","query","superAppProcedure","module-map","","RESOLVED","authenticated-user","scoped","LOW","قراءة","","server/routers/superAppRouter.ts:1627"
"trpc","superAppRouter","bootstrap","superapp.super_app.bootstrap","query","superAppProcedure","module-map","","RESOLVED","authenticated-user","scoped","LOW","قراءة","","server/routers/superAppRouter.ts:283"
"trpc","superAppRouter","markAllNotificationsRead","superapp.super_app.mark_all_notifications_read","mutation","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","MEDIUM","كتابة","","server/routers/superAppRouter.ts:2151"
"trpc","superAppRouter","markNotificationRead","superapp.super_app.mark_notification_read","mutation","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","MEDIUM","كتابة","","server/routers/superAppRouter.ts:2147"
"trpc","superAppRouter","modulePulse","superapp.super_app.module_pulse","query","superAppProcedure","module-map","","RESOLVED","authenticated-user","scoped","LOW","قراءة","","server/routers/superAppRouter.ts:328"
"trpc","superAppRouter","myWorkspace","superapp.super_app.my_workspace","query","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","LOW","قراءة","","server/routers/superAppRouter.ts:1299"
"trpc","superAppRouter","notificationPreferences","superapp.super_app.notification_preferences","query","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","LOW","قراءة","","server/routers/superAppRouter.ts:2155"
"trpc","superAppRouter","notifications","superapp.super_app.notifications","query","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","LOW","قراءة","","server/routers/superAppRouter.ts:1606"
"trpc","superAppRouter","payrollHistory","superapp.super_app.payroll_history","query","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","LOW","قراءة","","server/routers/superAppRouter.ts:1523"
"trpc","superAppRouter","payslipDetail","superapp.super_app.payslip_detail","query","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","LOW","قراءة","","server/routers/superAppRouter.ts:1561"
"trpc","superAppRouter","requestLeave","superapp.super_app.request_leave","mutation","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","MEDIUM","كتابة","","server/routers/superAppRouter.ts:2176"
"trpc","superAppRouter","updateNotificationPreferences","superapp.super_app.update","mutation","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","MEDIUM","كتابة","","server/routers/superAppRouter.ts:2159"
"trpc","superAppRouter","withdrawLeave","superapp.super_app.withdraw_leave","mutation","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","MEDIUM","كتابة","","server/routers/superAppRouter.ts:2224"
"trpc","supplierRouter","activate","purchasing.supplier.activate","mutation","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","MEDIUM","كتابة","","server/routers/supplierRouter.ts:193"
"trpc","supplierRouter","create","purchasing.supplier.create","mutation","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","MEDIUM","كتابة","","server/routers/supplierRouter.ts:78"
"trpc","supplierRouter","deactivate","purchasing.supplier.revoke","mutation","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","MEDIUM","كتابة","","server/routers/supplierRouter.ts:185"
"trpc","supplierRouter","delete","purchasing.supplier.delete","mutation","managerProcedure","raw-role","","","manager","none","HIGH","فعل حسّاس: delete","RAW_ROLE_GATE|SENSITIVE_ACTION","server/routers/supplierRouter.ts:203"
"trpc","supplierRouter","findSimilar","purchasing.supplier.list","query","suppliersReadProcedure","module-map","suppliers","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/supplierRouter.ts:69"
"trpc","supplierRouter","get","purchasing.supplier.view","query","suppliersReadProcedure","module-map","suppliers","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/supplierRouter.ts:59"
"trpc","supplierRouter","list","purchasing.supplier.list","query","suppliersReadProcedure","module-map","suppliers","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/supplierRouter.ts:35"
"trpc","supplierRouter","search","purchasing.supplier.list","query","suppliersReadProcedure","module-map","suppliers","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/supplierRouter.ts:40"
"trpc","supplierRouter","summary","purchasing.supplier.view","query","managerProcedure","raw-role","","","manager","none","LOW","قراءة","RAW_ROLE_GATE","server/routers/supplierRouter.ts:24"
"trpc","supplierRouter","update","purchasing.supplier.update","mutation","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","MEDIUM","كتابة","","server/routers/supplierRouter.ts:128"
